Xreason.4,Xreason.16,Xreason.17,Xreason.19,Xletter.7,Xletter.33,Xletter.34,Xletter.58,Xmatrix.45,Xmatrix.46,Xmatrix.47,Xmatrix.55,Xrotate.3,Xrotate.4,Xrotate.6,Xrotate.8
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0
1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0
1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0
1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0
1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0
1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0
1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0
1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0
1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0
1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1
0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0
1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0
1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0
0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0
0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0
