age,sex,education,income,east-west,happiness,health,lived_abroad,orientation
47,Female,3,1800,East,9,3,No,1
52,Male,3,2000,East,8,3,No,5
61,Male,2,2500,West,9,4,No,6
54,Female,2,860,West,3,2,Yes,1
49,Male,3,2500,West,7,5,No,6
75,Female,3,750,West,9,4,No,6
59,Male,5,4500,East,8,4,No,6
65,Male,3,880,East,5,3,No,9
61,Female,2,3000,West,10,4,Yes,3
76,Male,2,950,East,10,3,No,6
23,Male,2,1200,West,10,3,No,3
65,Male,2,3300,West,9,3,No,6
54,Male,3,1500,East,6,3,Yes,2
76,Male,5,1600,East,10,5,No,3
23,Male,3,1800,West,8,4,No,3
36,Male,3,2125,West,9,5,No,2
34,Female,3,350,West,9,5,Yes,3
52,Female,4,2400,West,9,5,Yes,6
63,Male,3,1050,East,8,2,No,3
61,Male,2,2375,West,8,5,No,1
19,Male,3,875,West,9,5,No,9
27,Male,5,1500,East,9,5,No,3
53,Male,3,1000,East,6,4,No,9
25,Male,3,1300,West,8,3,No,6
40,Female,5,1390,West,9,5,Yes,5
71,Male,4,460,West,6,3,Yes,6
31,Male,4,2375,East,9,5,No,5
48,Male,5,3500,West,8,4,Yes,6
66,Female,2,850,West,9,3,No,3
43,Male,3,1800,West,4,4,No,9
24,Male,5,700,West,9,5,Yes,6
55,Female,3,813,West,8,3,No,6
61,Female,4,1500,West,8,4,No,2
48,Male,5,6250,West,5,2,No,5
27,Male,3,1579,West,8,5,No,6
41,Female,3,1100,West,10,5,No,6
39,Male,3,1500,East,3,4,No,9
78,Male,2,4500,West,10,5,No,3
66,Female,5,2000,West,8,3,No,3
40,Female,4,1625,East,8,5,No,6
29,Male,5,2400,West,9,5,No,3
48,Male,5,4000,West,7,1,Yes,5
40,Male,3,1400,East,4,3,No,9
53,Male,4,1875,West,9,3,No,3
42,Male,3,1100,West,9,3,No,5
47,Male,2,2700,West,8,3,No,6
72,Male,2,1140,East,5,1,No,1
31,Male,5,2200,West,7,3,Yes,3
88,Male,5,3000,West,3,4,No,5
31,Male,3,2500,East,10,5,Yes,6
35,Male,3,1650,East,8,4,No,1
69,Female,5,2650,West,10,5,No,3
66,Female,5,650,West,10,5,No,2
76,Male,2,1000,East,9,2,No,5
67,Male,5,860,East,6,3,Yes,9
58,Male,2,1100,West,4,3,No,2
68,Female,2,400,West,9,4,No,5
25,Male,3,1500,West,10,4,No,6
59,Male,5,3500,West,9,3,Yes,2
40,Female,3,1300,West,9,3,No,6
30,Female,5,1520,East,9,5,No,5
62,Female,2,600,West,8,3,No,3
26,Male,5,2000,East,9,4,No,6
54,Female,3,714,West,3,3,No,2
69,Male,5,700,East,6,4,Yes,9
28,Male,5,3000,East,8,5,No,6
83,Male,2,1050,West,10,3,No,6
56,Female,3,1063,West,10,3,No,2
65,Female,3,800,East,4,3,No,3
80,Female,2,265,West,8,1,No,6
28,Female,4,1800,West,9,5,No,3
51,Male,2,1900,West,8,3,No,9
66,Female,2,600,West,8,4,No,3
58,Male,2,1650,West,8,3,No,3
73,Male,2,1063,East,5,4,No,9
56,Female,3,940,East,4,2,No,2
